Ratio	VARIABLE	GROUP	PRE_SMD	POST_SMD
1:6	PC1	Used in matching	-0.0514064998315038	0.000698052508984783
1:6	PC2	Used in matching	0.0773133747424961	-0.000945529529130256
1:6	PC3	Used in matching	0.0408893070275971	0.00181888763529917
1:6	PC4	Used in matching	-0.117688107676038	-0.0091143538825951
1:6	PC5	Used in matching	-0.0145662578473341	-0.00932867779050713
1:4	PC1	Used in matching	-0.0514064998315038	0.0017851920640551
1:4	PC2	Used in matching	0.0773133747424961	-0.00118118073313824
1:4	PC3	Used in matching	0.0408893070275971	2.57668177616739e-05
1:4	PC4	Used in matching	-0.117688107676038	-0.000683383231937747
1:4	PC5	Used in matching	-0.0145662578473341	-0.000400345767357707
1:1	PC1	Used in matching	-0.0514064998315038	0.00142961365120208
1:1	PC2	Used in matching	0.0773133747424961	-0.000604115558123875
1:1	PC3	Used in matching	0.0408893070275971	0.000184800932699376
1:1	PC4	Used in matching	-0.117688107676038	-0.000458322988457378
1:1	PC5	Used in matching	-0.0145662578473341	-0.000240868984621078
1:1	PC6	Not used in matching	-0.054255653094109	-0.00498498472290767
1:1	PC7	Not used in matching	0.00834599823124638	-0.00806438727480307
1:1	PC8	Not used in matching	0.0121480450481567	0.00575446308909777
1:1	PC9	Not used in matching	-0.0325671566273111	-0.0315310119591624
1:1	PC10	Not used in matching	-0.0374984866806803	-0.0221526629111687
1:4	PC6	Not used in matching	-0.054255653094109	-0.000524322306301186
1:4	PC7	Not used in matching	0.00834599823124638	-0.00743039536016433
1:4	PC8	Not used in matching	0.0121480450481567	0.00550021140471725
1:4	PC9	Not used in matching	-0.0325671566273111	-0.0290120046657809
1:4	PC10	Not used in matching	-0.0374984866806803	-0.0206497856605953
1:6	PC6	Not used in matching	-0.054255653094109	-0.00411411546107238
1:6	PC7	Not used in matching	0.00834599823124638	-0.00775270566681357
1:6	PC8	Not used in matching	0.0121480450481567	0.00375858992496903
1:6	PC9	Not used in matching	-0.0325671566273111	-0.0309731859336631
1:6	PC10	Not used in matching	-0.0374984866806803	-0.0226560248161894
