CENTRE_CODE	CENTRE	PRE_N_CASE	PRE_N_CONTROL	POST_N_CASE	POST_N_CONTROL	PRE_PROP_CASE	PRE_PROP_CONTROL	POST_PROP_CASE	POST_PROP_CONTROL	PRE_POOLED_SD	PRE_SMD	POST_SMD	Ratio	FACET_LABEL
10003	Stockport (pilot)	11	798	11	124	0.000733333333333333	0.0078142595548418	0.000733333333333333	0.00137777777777778	0.0651382854318677	-0.108706057805511	-0.00989348184668616	1:6	1:6
11001	Manchester	414	3191	414	2852	0.0276	0.0312472459141607	0.0276	0.0316888888888889	0.168980909479356	-0.0215837749092375	-0.0241973421819488	1:6	1:6
11002	Oxford	345	4503	345	3928	0.023	0.0440947503451788	0.023	0.0436444444444444	0.179751777928864	-0.117354891218528	-0.114849737133696	1:6	1:6
11003	Cardiff	564	3166	564	2948	0.0376	0.0310024382839964	0.0376	0.0327555555555556	0.18197187571771	0.0362559416941894	0.0266219404802946	1:6	1:6
11004	Glasgow	608	3366	608	3152	0.0405333333333333	0.0329608993253102	0.0405333333333333	0.0350222222222222	0.188102180560459	0.0402570240571414	0.0292984966718115	1:6	1:6
11005	Edinburgh	438	4346	438	4057	0.0292	0.0425573584277475	0.0292	0.0450777777777778	0.185867680987577	-0.0718648791267817	-0.0854251674815859	1:6	1:6
11006	Stoke	591	3200	591	2951	0.0394	0.0313353766610198	0.0394	0.0327888888888889	0.184663356991218	0.0436720282268223	0.0358008823127023	1:6	1:6
11007	Reading	913	6739	913	5995	0.0608666666666667	0.0659903447870663	0.0608666666666667	0.0666111111111111	0.243718623352326	-0.0210229240996193	-0.0235699856064759	1:6	1:6
11008	Bury	969	4519	969	4086	0.0646	0.0442514272284839	0.0646	0.0454	0.226627534091432	0.0897886166087243	0.0847205088162582	1:6	1:6
11009	Newcastle	1204	5272	1204	4944	0.0802666666666667	0.0516250330490301	0.0802666666666667	0.0549333333333333	0.247773906919802	0.115595842894414	0.102243749748568	1:6	1:6
11010	Leeds	1358	8268	1358	7487	0.0905333333333333	0.0809627794479098	0.0905333333333333	0.0831888888888889	0.279950760564128	0.0341865614729458	0.0262347722493936	1:6	1:6
11011	Bristol	1299	10104	1299	9077	0.0866	0.0989414518071699	0.0866	0.100855555555556	0.290045238645163	-0.0425500927538696	-0.0491494210425415	1:6	1:6
11012	Barts	286	4797	286	3883	0.0190666666666667	0.04697368807591	0.0190666666666667	0.0431444444444444	0.178143607229316	-0.156654632985622	-0.135159370309503	1:6	1:6
11013	Nottingham	979	6400	979	5773	0.0652666666666667	0.0626707533220395	0.0652666666666667	0.0641444444444444	0.244693746230851	0.010608825867491	0.00458623172642705	1:6	1:6
11014	Sheffield	936	5479	936	4929	0.0624	0.0536520402267898	0.0624	0.0547666666666667	0.233751725989663	0.0374241505005917	0.0326557303524292	1:6	1:6
11016	Liverpool	1065	5106	1065	4749	0.071	0.0499995103847397	0.071	0.0527666666666667	0.238179091594987	0.0881710039056273	0.0765530391909393	1:6	1:6
11017	Middlesbrough	668	3201	668	2954	0.0445333333333333	0.0313451689662263	0.0445333333333333	0.0328222222222222	0.190935545281989	0.0690712897257013	0.0613354160631286	1:6	1:6
11018	Hounslow	773	8199	773	6475	0.0515333333333333	0.0802871103886566	0.0515333333333333	0.0719444444444444	0.247708234807591	-0.11607921342485	-0.0823998084963368	1:6	1:6
11020	Croydon	727	6591	727	5454	0.0484666666666667	0.0645410836164942	0.0484666666666667	0.0606	0.230752227541785	-0.0696609394460415	-0.0525816520281963	1:6	1:6
11021	Birmingham	772	4411	772	3781	0.0514666666666667	0.0431938582661744	0.0514666666666667	0.0420111111111111	0.212304024647609	0.0389667996837261	0.0445378064370202	1:6	1:6
11022	Swansea	61	378	61	323	0.00406666666666667	0.00370149136808296	0.00406666666666667	0.00358888888888889	0.0622009614822145	0.00587089475599381	0.00768119602000673	1:6	1:6
11023	Wrexham	19	87	19	78	0.00126666666666667	0.000851930552971475	0.00126666666666667	0.000866666666666667	0.0325289639362108	0.0127497486396581	0.0122967334829476	1:6	1:6
10003	Stockport (pilot)	11	798	11	88	0.000733333333333333	0.0078142595548418	0.000733333333333333	0.00146666666666667	0.0651382854318677	-0.108706057805511	-0.011258100032436	1:4	1:4
11001	Manchester	414	3191	414	1857	0.0276	0.0312472459141607	0.0276	0.03095	0.168980909479356	-0.0215837749092375	-0.0198247246409173	1:4	1:4
11002	Oxford	345	4503	345	2646	0.023	0.0440947503451788	0.023	0.0441	0.179751777928864	-0.117354891218528	-0.117384096241597	1:4	1:4
11003	Cardiff	564	3166	564	1983	0.0376	0.0310024382839964	0.0376	0.03305	0.18197187571771	0.0362559416941894	0.025003863822662	1:4	1:4
11004	Glasgow	608	3366	608	2144	0.0405333333333333	0.0329608993253102	0.0405333333333333	0.0357333333333333	0.188102180560459	0.0402570240571414	0.025518045488352	1:4	1:4
11005	Edinburgh	438	4346	438	2824	0.0292	0.0425573584277475	0.0292	0.0470666666666667	0.185867680987577	-0.0718648791267817	-0.0961257307980336	1:4	1:4
11006	Stoke	591	3200	591	1964	0.0394	0.0313353766610198	0.0394	0.0327333333333333	0.184663356991218	0.0436720282268223	0.0361017300632292	1:4	1:4
11007	Reading	913	6739	913	4016	0.0608666666666667	0.0659903447870663	0.0608666666666667	0.0669333333333333	0.243718623352326	-0.0210229240996193	-0.0248920931163169	1:4	1:4
11008	Bury	969	4519	969	2728	0.0646	0.0442514272284839	0.0646	0.0454666666666667	0.226627534091432	0.0897886166087243	0.0844263403828684	1:4	1:4
