"scenario","ratio","ratio_label","variable","stage","mean_abs_smd","q05","median_abs_smd","q95"
"Negative control",1,"1:1","ancestry","After matching",0.0577010957363339,0.0454655358134812,0.057973098062407,0.0705107563829062
"Positive control",1,"1:1","ancestry","After matching",0.0128536523950287,0.00410402016701126,0.0127185399912448,0.0215118952440105
"Negative control",4,"1:4","ancestry","After matching",0.0671851161728577,0.0568282449586004,0.0670690974492138,0.0784762443831441
"Positive control",4,"1:4","ancestry","After matching",0.0146040349339379,0.00740998308863404,0.0148047107028182,0.0211565536781686
"Negative control",6,"1:6","ancestry","After matching",0.0767420845205266,0.0661419067334102,0.07674280783393,0.0879135616122721
"Positive control",6,"1:6","ancestry","After matching",0.0161355353067852,0.00946785947265456,0.0161716785972137,0.0226890862429416
"Negative control",1,"1:1","PC1","After matching",0.00952534788883208,0.00285445687818028,0.00951836579733677,0.0157657180564828
"Positive control",1,"1:1","PC1","After matching",0.00314591321234084,0.000225114785362129,0.00274010308997605,0.00726173482949306
"Negative control",4,"1:4","PC1","After matching",0.0158425022612104,0.0101875797605734,0.0159851615480961,0.0215476713919418
"Positive control",4,"1:4","PC1","After matching",0.0037085724937714,0.000490293391164764,0.00351174242274956,0.00750392540629218
"Negative control",6,"1:6","PC1","After matching",0.02161853297016,0.0148765273279726,0.0216959005874182,0.0283794275489921
"Positive control",6,"1:6","PC1","After matching",0.00461953068931315,0.000712663703918103,0.00450895476218652,0.00878954826329453
"Negative control",1,"1:1","PC2","After matching",0.00679535450837102,0.00115092152813629,0.0068271699356812,0.012794705170321
"Positive control",1,"1:1","PC2","After matching",0.00287194224409546,0.000200320466902059,0.0025435659358919,0.00678153050597995
"Negative control",4,"1:4","PC2","After matching",0.0112122125010549,0.00598469277990922,0.0112882879228437,0.0164065896204591
"Positive control",4,"1:4","PC2","After matching",0.00302586264945629,0.000262462496878472,0.00280097501652136,0.00663945388823776
"Negative control",6,"1:6","PC2","After matching",0.0152804485045609,0.00911206968332512,0.0151723972706782,0.0215710459220118
"Positive control",6,"1:6","PC2","After matching",0.00368188405474439,0.000422777963725335,0.00349364634509816,0.00756192258170587
"Negative control",1,"1:1","PC3","After matching",0.00428712352695254,0.000465520553935736,0.00392609771722983,0.0095699317469103
"Positive control",1,"1:1","PC3","After matching",0.0026542082750079,0.000256549049857916,0.00227801185266112,0.0064307315783691
"Negative control",4,"1:4","PC3","After matching",0.00644586444208156,0.00209483959616649,0.00643321801042572,0.0110342967764565
"Positive control",4,"1:4","PC3","After matching",0.00232455988555013,0.000177380556649163,0.00196469960448364,0.00584083592727657
"Negative control",6,"1:6","PC3","After matching",0.00888901666152403,0.00349136115498732,0.00883684291316584,0.014466851483937
"Positive control",6,"1:6","PC3","After matching",0.0026748736769326,0.00019678042036732,0.00237696502301793,0.00643227298106561
"Negative control",1,"1:1","PC4","After matching",0.00302070805921544,0.000243912260117694,0.00257835367739032,0.00735316547076261
"Positive control",1,"1:1","PC4","After matching",0.00253109580456657,0.000187084502353681,0.00211083468768721,0.00634201866963395
"Negative control",4,"1:4","PC4","After matching",0.00354899558896358,0.000338556961824356,0.00327477798825762,0.00780145779611317
"Positive control",4,"1:4","PC4","After matching",0.00198954343282055,0.000191568173474595,0.00167104668657733,0.00493884725138806
"Negative control",6,"1:6","PC4","After matching",0.00474712181765868,0.00061008981645924,0.00462035106842423,0.0100890892467635
"Positive control",6,"1:6","PC4","After matching",0.00207178116880146,0.000181424382404232,0.00178647969505555,0.00521106560986831
"Negative control",1,"1:1","PC5","After matching",0.00270812899383996,0.000234420782090464,0.00225111871753441,0.00648890836867164
"Positive control",1,"1:1","PC5","After matching",0.00244781662398151,0.000187663205537628,0.00202323652254833,0.00614113818087963
"Negative control",4,"1:4","PC5","After matching",0.00238818438471086,0.000202739395829005,0.00200029910631837,0.0058969664754087
"Positive control",4,"1:4","PC5","After matching",0.00181168680829734,0.000135008246089782,0.00154113484059596,0.00431732999907903
"Negative control",6,"1:6","PC5","After matching",0.00301095996540213,0.00020243557623681,0.00263708173330657,0.00689040727408035
"Positive control",6,"1:6","PC5","After matching",0.00183910258238056,0.000146130310708217,0.00154666953469292,0.00442472049004185
"Negative control",1,"1:1","ancestry","Before matching",1.56293553757776,1.55150727135233,1.562596313841,1.57528730868448
"Positive control",1,"1:1","ancestry","Before matching",0.349201706607605,0.313604967883573,0.349253477933414,0.38601875445211
"Negative control",4,"1:4","ancestry","Before matching",1.56293553757776,1.55150727135233,1.562596313841,1.57528730868448
"Positive control",4,"1:4","ancestry","Before matching",0.349201706607605,0.313604967883573,0.349253477933414,0.38601875445211
"Negative control",6,"1:6","ancestry","Before matching",1.56293553757776,1.55150727135233,1.562596313841,1.57528730868448
"Positive control",6,"1:6","ancestry","Before matching",0.349201706607605,0.313604967883573,0.349253477933414,0.38601875445211
"Negative control",1,"1:1","PC1","Before matching",1.27439087443109,1.25231872534495,1.27403765622655,1.2982816501171
"Positive control",1,"1:1","PC1","Before matching",0.310468683909754,0.276852489762272,0.310644026262641,0.343839545855635
"Negative control",4,"1:4","PC1","Before matching",1.27439087443109,1.25231872534495,1.27403765622655,1.2982816501171
"Positive control",4,"1:4","PC1","Before matching",0.310468683909754,0.276852489762272,0.310644026262641,0.343839545855635
"Negative control",6,"1:6","PC1","Before matching",1.27439087443109,1.25231872534495,1.27403765622655,1.2982816501171
"Positive control",6,"1:6","PC1","Before matching",0.310468683909754,0.276852489762272,0.310644026262641,0.343839545855635
"Negative control",1,"1:1","PC2","Before matching",0.899580965638833,0.868590559885141,0.899875347517999,0.930619651548165
"Positive control",1,"1:1","PC2","Before matching",0.243538843767639,0.208781580513168,0.244272204272042,0.277676752529884
"Negative control",4,"1:4","PC2","Before matching",0.899580965638833,0.868590559885141,0.899875347517999,0.930619651548165
"Positive control",4,"1:4","PC2","Before matching",0.243538843767639,0.208781580513168,0.244272204272042,0.277676752529884
"Negative control",6,"1:6","PC2","Before matching",0.899580965638833,0.868590559885141,0.899875347517999,0.930619651548165
"Positive control",6,"1:6","PC2","Before matching",0.243538843767639,0.208781580513168,0.244272204272042,0.277676752529884
"Negative control",1,"1:1","PC3","Before matching",0.519351429233053,0.487324381742173,0.519075698070516,0.550123491740196
"Positive control",1,"1:1","PC3","Before matching",0.15354137294891,0.120695924315949,0.152827390356522,0.188969299324021
"Negative control",4,"1:4","PC3","Before matching",0.519351429233053,0.487324381742173,0.519075698070516,0.550123491740196
"Positive control",4,"1:4","PC3","Before matching",0.15354137294891,0.120695924315949,0.152827390356522,0.188969299324021
"Negative control",6,"1:6","PC3","Before matching",0.519351429233053,0.487324381742173,0.519075698070516,0.550123491740196
"Positive control",6,"1:6","PC3","Before matching",0.15354137294891,0.120695924315949,0.152827390356522,0.188969299324021
"Negative control",1,"1:1","PC4","Before matching",0.270918301007859,0.237610670422994,0.270704858171914,0.304704635736812
"Positive control",1,"1:1","PC4","Before matching",0.0822550518495163,0.0488384938426811,0.0826463194419232,0.116247861598352
"Negative control",4,"1:4","PC4","Before matching",0.270918301007859,0.237610670422994,0.270704858171914,0.304704635736812
"Positive control",4,"1:4","PC4","Before matching",0.0822550518495163,0.0488384938426811,0.0826463194419232,0.116247861598352
"Negative control",6,"1:6","PC4","Before matching",0.270918301007859,0.237610670422994,0.270704858171914,0.304704635736812
"Positive control",6,"1:6","PC4","Before matching",0.0822550518495163,0.0488384938426811,0.0826463194419232,0.116247861598352
"Negative control",1,"1:1","PC5","Before matching",0.109605326679838,0.0751701786186004,0.10992806347583,0.143151392132475
"Positive control",1,"1:1","PC5","Before matching",0.0340407992383385,0.00503794786494401,0.0327951984929658,0.0668061557433089
"Negative control",4,"1:4","PC5","Before matching",0.109605326679838,0.0751701786186004,0.10992806347583,0.143151392132475
"Positive control",4,"1:4","PC5","Before matching",0.0340407992383385,0.00503794786494401,0.0327951984929658,0.0668061557433089
"Negative control",6,"1:6","PC5","Before matching",0.109605326679838,0.0751701786186004,0.10992806347583,0.143151392132475
"Positive control",6,"1:6","PC5","Before matching",0.0340407992383385,0.00503794786494401,0.0327951984929658,0.0668061557433089
