"iteration","scenario","ratio","method","beta","se","p_value","n_matched_cases","n_discordant","matched_mac","ratio_label"
1,"Negative control",1,"Oracle GWAS",0.00351740023178858,0.123133114443466,0.97721086066836,,,,"1:1"
1,"Negative control",1,"Standard GWAS",0.661340345234129,0.121282448311046,4.9556587881358e-08,,,,"1:1"
1,"Negative control",1,"PC-adjusted GWAS",0.100949197326319,0.12499150761978,0.419292987438789,,,,"1:1"
1,"Negative control",1,"Matching + CLR",0.0224729833600367,0.212014763651162,0.915582520390592,2500,86,87,"1:1"
1,"Negative control",4,"Oracle GWAS",0.00351740023178858,0.123133114443466,0.97721086066836,,,,"1:4"
1,"Negative control",4,"Standard GWAS",0.661340345234129,0.121282448311046,4.9556587881358e-08,,,,"1:4"
1,"Negative control",4,"PC-adjusted GWAS",0.100949197326319,0.12499150761978,0.419292987438789,,,,"1:4"
1,"Negative control",4,"Matching + CLR",-4.77446828250497e-18,0.169321365369649,1,2500,211,220,"1:4"
1,"Negative control",6,"Oracle GWAS",0.00351740023178858,0.123133114443466,0.97721086066836,,,,"1:6"
1,"Negative control",6,"Standard GWAS",0.661340345234129,0.121282448311046,4.9556587881358e-08,,,,"1:6"
1,"Negative control",6,"PC-adjusted GWAS",0.100949197326319,0.12499150761978,0.419292987438789,,,,"1:6"
1,"Negative control",6,"Matching + CLR",0.0232482974191746,0.164028259303496,0.887288003030352,2500,285,302,"1:6"
1,"Positive control",1,"Oracle GWAS",0.513396020695179,0.129581075018997,7.43346298525906e-05,,,,"1:1"
1,"Positive control",1,"Standard GWAS",0.747223332258207,0.12883646347134,6.64013989100583e-09,,,,"1:1"
1,"Positive control",1,"PC-adjusted GWAS",0.53739698576883,0.129592587333191,3.37126561141274e-05,,,,"1:1"
1,"Positive control",1,"Matching + CLR",0.653926467406664,0.241788209895061,0.00590539153259326,2500,76,76,"1:1"
1,"Positive control",4,"Oracle GWAS",0.513396020695179,0.129581075018997,7.43346298525906e-05,,,,"1:4"
1,"Positive control",4,"Standard GWAS",0.747223332258207,0.12883646347134,6.64013989100583e-09,,,,"1:4"
1,"Positive control",4,"PC-adjusted GWAS",0.53739698576883,0.129592587333191,3.37126561141274e-05,,,,"1:4"
1,"Positive control",4,"Matching + CLR",0.624953535428009,0.172407034351422,0.000230552620795893,2500,155,158,"1:4"
1,"Positive control",6,"Oracle GWAS",0.513396020695179,0.129581075018997,7.43346298525906e-05,,,,"1:6"
1,"Positive control",6,"Standard GWAS",0.747223332258207,0.12883646347134,6.64013989100583e-09,,,,"1:6"
1,"Positive control",6,"PC-adjusted GWAS",0.53739698576883,0.129592587333191,3.37126561141274e-05,,,,"1:6"
1,"Positive control",6,"Matching + CLR",0.550476460467476,0.162331997015868,0.00059756111760308,2500,215,225,"1:6"
2,"Negative control",1,"Oracle GWAS",-0.039051964541021,0.116619612277044,0.737726032083569,,,,"1:1"
2,"Negative control",1,"Standard GWAS",0.630895087736241,0.115159021803107,4.29022642647821e-08,,,,"1:1"
2,"Negative control",1,"PC-adjusted GWAS",0.045299535641108,0.118898573301535,0.703208370931835,,,,"1:1"
2,"Negative control",1,"Matching + CLR",-0.0202027073175196,0.201017818278147,0.919944380817007,2500,99,99,"1:1"
2,"Negative control",4,"Oracle GWAS",-0.039051964541021,0.116619612277044,0.737726032083569,,,,"1:4"
2,"Negative control",4,"Standard GWAS",0.630895087736241,0.115159021803107,4.29022642647821e-08,,,,"1:4"
2,"Negative control",4,"PC-adjusted GWAS",0.045299535641108,0.118898573301535,0.703208370931835,,,,"1:4"
2,"Negative control",4,"Matching + CLR",0.0104068688202954,0.16105520293406,0.948478895627413,2500,236,243,"1:4"
2,"Negative control",6,"Oracle GWAS",-0.039051964541021,0.116619612277044,0.737726032083569,,,,"1:6"
2,"Negative control",6,"Standard GWAS",0.630895087736241,0.115159021803107,4.29022642647821e-08,,,,"1:6"
2,"Negative control",6,"PC-adjusted GWAS",0.045299535641108,0.118898573301535,0.703208370931835,,,,"1:6"
2,"Negative control",6,"Matching + CLR",0.0104101695514752,0.15557381605562,0.946649402966968,2500,325,340,"1:6"
2,"Positive control",1,"Oracle GWAS",0.445354553035789,0.125685981732446,0.000395016844525153,,,,"1:1"
2,"Positive control",1,"Standard GWAS",0.692883563092902,0.12494337203935,2.92980024801021e-08,,,,"1:1"
2,"Positive control",1,"PC-adjusted GWAS",0.482623263506238,0.125757398179407,0.000124175606560672,,,,"1:1"
2,"Positive control",1,"Matching + CLR",0.328504066972036,0.218581284143399,0.131130502869651,2500,86,90,"1:1"
2,"Positive control",4,"Oracle GWAS",0.445354553035789,0.125685981732446,0.000395016844525153,,,,"1:4"
2,"Positive control",4,"Standard GWAS",0.692883563092902,0.12494337203935,2.92980024801021e-08,,,,"1:4"
2,"Positive control",4,"PC-adjusted GWAS",0.482623263506238,0.125757398179407,0.000124175606560672,,,,"1:4"
2,"Positive control",4,"Matching + CLR",0.344256507074744,0.162288772052682,0.0330062576612325,2500,191,200,"1:4"
2,"Positive control",6,"Oracle GWAS",0.445354553035789,0.125685981732446,0.000395016844525153,,,,"1:6"
2,"Positive control",6,"Standard GWAS",0.692883563092902,0.12494337203935,2.92980024801021e-08,,,,"1:6"
2,"Positive control",6,"PC-adjusted GWAS",0.482623263506238,0.125757398179407,0.000124175606560672,,,,"1:6"
2,"Positive control",6,"Matching + CLR",0.420308409533933,0.156360086124787,0.006765464581453,2500,243,258,"1:6"
3,"Negative control",1,"Oracle GWAS",0.0165617831128001,0.111597844179666,0.882022411512879,,,,"1:1"
3,"Negative control",1,"Standard GWAS",0.712457026303872,0.110305624287204,1.05441319852071e-10,,,,"1:1"
3,"Negative control",1,"PC-adjusted GWAS",0.146241383946488,0.113613709223644,0.198031281401905,,,,"1:1"
3,"Negative control",1,"Matching + CLR",0.0540672212702759,0.18990096936993,0.77583767421793,2500,111,111,"1:1"
3,"Negative control",4,"Oracle GWAS",0.0165617831128001,0.111597844179666,0.882022411512879,,,,"1:4"
3,"Negative control",4,"Standard GWAS",0.712457026303872,0.110305624287204,1.05441319852071e-10,,,,"1:4"
3,"Negative control",4,"PC-adjusted GWAS",0.146241383946488,0.113613709223644,0.198031281401905,,,,"1:4"
3,"Negative control",4,"Matching + CLR",0.0966298113889103,0.149589108846917,0.518130201450153,2500,254,264,"1:4"
3,"Negative control",6,"Oracle GWAS",0.0165617831128001,0.111597844179666,0.882022411512879,,,,"1:6"
3,"Negative control",6,"Standard GWAS",0.712457026303872,0.110305624287204,1.05441319852071e-10,,,,"1:6"
3,"Negative control",6,"PC-adjusted GWAS",0.146241383946488,0.113613709223644,0.198031281401905,,,,"1:6"
3,"Negative control",6,"Matching + CLR",0.066853505342723,0.144169969145513,0.642790524951766,2500,357,377,"1:6"
3,"Positive control",1,"Oracle GWAS",0.403688226737208,0.125859479320022,0.00133916450240205,,,,"1:1"
3,"Positive control",1,"Standard GWAS",0.649648559227728,0.12507339662682,2.05669862661588e-07,,,,"1:1"
3,"Positive control",1,"PC-adjusted GWAS",0.443461765349802,0.125839493466157,0.000425041028555033,,,,"1:1"
3,"Positive control",1,"Matching + CLR",0.552871188372293,0.216269601166742,0.00953146380740003,2500,90,91,"1:1"
3,"Positive control",4,"Oracle GWAS",0.403688226737208,0.125859479320022,0.00133916450240205,,,,"1:4"
