"scenario","ratio","ratio_label","method","rejection_rate","ci_lower","ci_upper","lambda_gc","mean_beta","bias","rmse","coverage_95","n_valid","n_failed","mean_matched_cases","mean_discordant_strata","mean_matched_mac"
"Negative control",1,"1:1","Oracle GWAS",0.049,0.0372610346473606,0.0641907015066101,1.07640757137228,-0.00309481590406677,-0.00309481590406677,0.118651326924249,0.951,1000,0,,,
"Negative control",1,"1:1","Standard GWAS",0.999,0.994357441402042,0.999823453629374,77.4115188713621,0.681948019959208,0.681948019959208,0.691880198478752,0.001,1000,0,,,
"Negative control",1,"1:1","PC-adjusted GWAS",0.193,0.169733013554274,0.218616616155857,2.34734602718885,0.110821637133432,0.110821637133432,0.167454552842991,0.807,1000,0,,,
"Negative control",1,"1:1","Matching + CLR",0.049,0.0372610346473606,0.0641907015066101,1.08795310684413,0.0251776278606269,0.0251776278606269,0.20705870540579,0.953,1000,0,2500,96.977,99.53
"Negative control",4,"1:4","Oracle GWAS",0.049,0.0372610346473606,0.0641907015066101,1.07640757137228,-0.00309481590406677,-0.00309481590406677,0.118651326924249,0.951,1000,0,,,
"Negative control",4,"1:4","Standard GWAS",0.999,0.994357441402042,0.999823453629374,77.4115188713621,0.681948019959208,0.681948019959208,0.691880198478752,0.001,1000,0,,,
"Negative control",4,"1:4","PC-adjusted GWAS",0.193,0.169733013554274,0.218616616155857,2.34734602718885,0.110821637133432,0.110821637133432,0.167454552842991,0.807,1000,0,,,
"Negative control",4,"1:4","Matching + CLR",0.061,0.0477797751260337,0.0775801188242837,1.08829039322934,0.0210326942886672,0.0210326942886672,0.162519202974613,0.94,1000,0,2500,235.749,246.326
"Negative control",6,"1:6","Oracle GWAS",0.049,0.0372610346473606,0.0641907015066101,1.07640757137228,-0.00309481590406677,-0.00309481590406677,0.118651326924249,0.951,1000,0,,,
"Negative control",6,"1:6","Standard GWAS",0.999,0.994357441402042,0.999823453629374,77.4115188713621,0.681948019959208,0.681948019959208,0.691880198478752,0.001,1000,0,,,
"Negative control",6,"1:6","PC-adjusted GWAS",0.193,0.169733013554274,0.218616616155857,2.34734602718885,0.110821637133432,0.110821637133432,0.167454552842991,0.807,1000,0,,,
"Negative control",6,"1:6","Matching + CLR",0.065,0.0513237705690621,0.0820055093133709,1.0692962157958,0.0231190551452959,0.0231190551452959,0.158654934325175,0.937,1000,0,2500,322.521,343.447
"Positive control",1,"1:1","Oracle GWAS",0.856,0.832876297870298,0.876399050087986,21.3012739503888,0.401906154468432,-0.00355895363973262,0.128493637005765,0.957,1000,0,,,
"Positive control",1,"1:1","Standard GWAS",0.997,0.991216985946497,0.998979216118861,55.6916377960105,0.648111090954158,0.242645982845993,0.2739540909105,0.528,1000,0,,,
"Positive control",1,"1:1","PC-adjusted GWAS",0.907,0.887408744234504,0.923476274358255,25.53847132984,0.439404829980223,0.0339397218720589,0.132953291798736,0.93,1000,0,,,
"Positive control",1,"1:1","Matching + CLR",0.464,0.433287331847884,0.494988194763076,7.65365781655211,0.427642173619005,0.022177065510841,0.231752985008192,0.951,1000,0,2500,80.154,82.462
"Positive control",4,"1:4","Oracle GWAS",0.856,0.832876297870298,0.876399050087986,21.3012739503888,0.401906154468432,-0.00355895363973262,0.128493637005765,0.957,1000,0,,,
"Positive control",4,"1:4","Standard GWAS",0.997,0.991216985946497,0.998979216118861,55.6916377960105,0.648111090954158,0.242645982845993,0.2739540909105,0.528,1000,0,,,
"Positive control",4,"1:4","PC-adjusted GWAS",0.907,0.887408744234504,0.923476274358255,25.53847132984,0.439404829980223,0.0339397218720589,0.132953291798736,0.93,1000,0,,,
"Positive control",4,"1:4","Matching + CLR",0.676,0.646367803285296,0.704285177727789,13.5363518015371,0.412367171611216,0.00690206350305129,0.167664441990818,0.948,1000,0,2500,173.413,181.182
"Positive control",6,"1:6","Oracle GWAS",0.856,0.832876297870298,0.876399050087986,21.3012739503888,0.401906154468432,-0.00355895363973262,0.128493637005765,0.957,1000,0,,,
"Positive control",6,"1:6","Standard GWAS",0.997,0.991216985946497,0.998979216118861,55.6916377960105,0.648111090954158,0.242645982845993,0.2739540909105,0.528,1000,0,,,
"Positive control",6,"1:6","PC-adjusted GWAS",0.907,0.887408744234504,0.923476274358255,25.53847132984,0.439404829980223,0.0339397218720589,0.132953291798736,0.93,1000,0,,,
"Positive control",6,"1:6","Matching + CLR",0.711,0.682139559895427,0.738245548023669,15.7478537449852,0.410063749033188,0.00459864092502356,0.158759200461804,0.953,1000,0,2500,232.262,247.088
